Price,Area,Bed,Bath,AC,Garage,Pool,Year,Quality,Style,Lot,Highway
360000,3032,4,4,1,2,0,1972,Medium,1,22221,0
340000,2058,4,2,1,2,0,1976,Medium,1,22912,0
250000,1780,4,3,1,2,0,1980,Medium,1,21345,0
205500,1638,4,2,1,2,0,1963,Medium,1,17342,0
275500,2196,4,3,1,2,0,1968,Medium,7,21786,0
248000,1966,4,3,1,5,1,1972,Medium,1,18902,0
229900,2216,3,2,1,2,0,1972,Medium,7,18639,0
150000,1597,2,1,1,1,0,1955,Medium,1,22112,0
195000,1622,3,2,1,2,0,1975,Low,1,14321,0
160000,1976,3,3,0,1,0,1918,Low,1,32358,0
190000,2812,7,5,0,2,1,1966,Low,7,56639,0
559000,2791,3,4,1,3,0,1992,High,1,30595,0
535000,3381,5,4,1,3,0,1988,High,7,23172,0
525000,3459,5,4,1,2,0,1978,High,5,35351,0
299900,2090,3,3,1,2,0,1987,Medium,1,24025,0
527000,3232,5,5,1,2,0,1984,Medium,6,21445,0
169900,1502,2,2,1,2,0,1956,Medium,1,28958,0
335250,2747,3,4,1,2,0,1993,Medium,7,22241,0
323900,2890,4,3,1,2,0,1954,Medium,7,41992,0
200000,1825,3,3,1,2,0,1957,Medium,1,30266,0
211000,1578,4,3,1,2,0,1986,Medium,2,18829,0
212000,1763,3,3,1,2,0,1959,Medium,1,24726,0
245000,2517,4,3,1,2,0,1965,Medium,1,23261,0
140400,1872,3,2,1,2,0,1985,Medium,3,24017,0
295000,3266,3,3,1,2,0,1908,Medium,6,24881,0
170900,2020,1,2,1,1,0,1956,Medium,1,21385,0
229000,2164,4,2,1,2,0,1965,Medium,1,28291,0
218500,2080,3,2,1,2,1,1959,Medium,1,14752,0
160000,2208,2,2,1,2,0,1985,Medium,7,8058,0
259000,3048,6,4,1,3,0,1960,Medium,7,29307,0
164500,1460,3,2,1,2,0,1978,Medium,1,9999,0
280000,2540,3,2,0,2,0,1940,Medium,5,42428,0
154000,2208,2,2,1,2,0,1985,Medium,7,6746,0
272000,2560,4,2,1,3,0,1977,Medium,5,36100,0
180000,2061,4,2,0,2,0,1958,Medium,1,20138,0
157500,1980,3,2,1,2,0,1957,Medium,1,32519,0
242500,3308,5,4,1,2,0,1928,Medium,5,47323,0
182000,2616,5,3,0,2,0,1955,Low,5,11123,0
178000,1460,4,2,1,2,0,1961,Low,1,27095,0
171900,1580,2,1,0,1,0,1951,Low,4,12417,0
165500,1460,3,2,1,2,0,1960,Low,1,22493,0
183500,1540,3,2,1,2,0,1992,Low,3,15801,0
135000,1388,2,1,0,2,0,1951,Low,1,26106,0
175000,1624,3,2,1,2,0,1948,Low,1,39219,0
149500,1580,2,1,1,2,0,1966,Low,1,11166,0
177500,1820,3,2,1,2,0,1960,Low,1,22104,0
155000,1733,4,1,1,1,0,1936,Low,4,22398,0
145000,1896,3,2,0,2,0,1925,Low,6,32753,0
178000,2038,2,2,0,2,0,1918,Low,7,47884,0
156000,1436,3,2,0,3,0,1920,Low,1,43594,0
159000,1690,3,2,0,1,0,1922,Low,5,28518,0
160000,1496,2,2,0,1,0,1900,Low,5,43335,0
112000,1668,2,1,0,1,0,1948,Low,1,19612,0
84000,980,1,1,0,1,0,1951,Low,1,17686,0
155000,2562,3,2,0,2,0,1885,Low,7,40800,0
360000,2304,5,4,1,3,0,1978,Medium,1,70240,0
104000,1268,2,1,0,1,0,1947,Low,1,21067,0
420000,2283,3,3,1,3,0,1997,High,1,18524,1
355000,2060,2,3,1,2,0,1997,Medium,1,38623,1
165000,2087,2,2,1,2,0,1966,Medium,1,24764,1
244000,2081,4,2,1,2,0,1980,Medium,3,24993,1
179900,1696,3,3,1,2,0,1978,Medium,2,22294,1
253000,2222,4,2,0,2,0,1955,Medium,1,71527,1
200000,2110,5,3,1,2,0,1957,Medium,1,15332,1
200000,1774,4,2,0,2,0,1963,Low,1,15528,1
147700,1592,3,2,1,2,0,1957,Low,1,11221,1
188700,1748,3,2,1,2,0,1972,Low,1,23939,1
177000,1985,3,1,0,2,0,1948,Low,1,69975,1
585000,2558,2,4,1,3,1,1984,High,3,24601,0
549900,4000,6,5,1,3,1,1979,High,10,23595,0
675000,3942,4,3,1,2,0,1990,High,7,18920,0
830000,3889,4,4,1,3,0,1991,High,7,28378,0
920000,3857,4,5,1,3,0,1997,High,1,32793,0
855000,4756,4,4,1,3,0,1990,High,7,22215,0
585500,3302,4,3,1,3,0,1982,High,7,26463,0
399000,2629,3,3,1,2,0,1989,High,9,24778,0
790000,4418,5,5,1,3,0,1997,High,7,22024,0
665000,4746,4,4,1,3,0,1996,High,7,23368,0
725000,3242,3,3,1,3,0,1989,High,1,27173,0
647000,2464,3,3,1,3,0,1992,High,1,31703,0
