  gender   scale    perm     lie   relig   count

       1       1       1       1       1      52
       1       1       1       1       2      74
       1       1       1       2       1      50
       1       1       1       2       2      51
       1       1       2       1       1      34
       1       1       2       1       2      13
       1       1       2       2       1      41
       1       1       2       2       2      20
       1       2       1       1       1      57
       1       2       1       1       2      69
       1       2       1       2       1      50
       1       2       1       2       2      51
       1       2       2       1       1      38
       1       2       2       1       2       9
       1       2       2       2       1      43
       1       2       2       2       2      18
       1       3       1       1       1      17
       1       3       1       1       2     112
       1       3       1       2       1      26
       1       3       1       2       2      75
       1       3       2       1       1      16
       1       3       2       1       2      31
       1       3       2       2       1      30
       1       3       2       2       2      31
       1       4       1       1       1      44
       1       4       1       1       2      83
       1       4       1       2       1      43
       1       4       1       2       2      58
       1       4       2       1       1      30
       1       4       2       1       2      17
       1       4       2       2       1      38
       1       4       2       2       2      23
       2       1       1       1       1      25
       2       1       1       1       2      17
       2       1       1       2       1      30
       2       1       1       2       2      28
       2       1       2       1       1      59
       2       1       2       1       2       6
       2       1       2       2       1      58
       2       1       2       2       2      10
       2       2       1       1       1      21
       2       2       1       1       2      20
       2       2       1       2       1      32
       2       2       1       2       2      26
       2       2       2       1       1      51
       2       2       2       1       2      14
       2       2       2       2       1      56
       2       2       2       2       2      12
       2       3       1       1       1      15
       2       3       1       1       2      28
       2       3       1       2       1      16
       2       3       1       2       2      43
       2       3       2       1       1      38
       2       3       2       1       2      27
       2       3       2       2       1      48
       2       3       2       2       2      22
       2       4       1       1       1      24
       2       4       1       1       2      18
       2       4       1       2       1      23
       2       4       1       2       2      35
       2       4       2       1       1      52
       2       4       2       1       2      12
       2       4       2       2       1      57
       2       4       2       2       2      11
